Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
event horizon,1997.0,"thriller, science fiction, horror, adventure, supernatural, sci-fi horror, mystery",60000000.0,,,
ever after,1998.0,"romantic comedy, costume drama, fairy tale, period piece, fantasy, comedy, drama, romantic drama, romance film",,,,
ever after: a cinderella story,1998.0,,26000000.0,,,
ever in my heart,1933.0,"romance film, drama, war film",,,,
ever since eve,1937.0,"romantic comedy, black-and-white",,,,
eveready harton in buried treasure,1929.0,"short film, animation, comedy, black-and-white, adult",,,,
everest '82,2007.0,"drama, indie",,,,
everest (2015),2015.0,,,,,
everest: a climb for peace,2008.0,"sports, culture & society, travel, documentary",,,,
everglade raid,1958.0,animation,,,,
evergreen,1934.0,"musical, black-and-white",,,,
everlasting chivalry,1980.0,wuxia,,,,
everlasting heart,2001.0,"short film, anime, animation",,,,
everlasting love,1984.0,"romance film, drama",,,,
everlasting moments,2008.0,"biography, drama, world cinema",,,,
everlasting regret,2005.0,"drama, chinese movies, world cinema",,,,
every 9 seconds,1997.0,drama,,,,
every bastard a king,1968.0,drama,,,,
every breath u take,2012.0,"romance film, comedy film",,,,
every child,1979.0,"short film, animation",,,,
every day,2011.0,"romantic comedy, indie, family drama, comedy-drama, drama, comedy, romantic drama, romance film",,,,
every day (2018),2018.0,,,,,
every day except christmas,1957.0,"short film, documentary",,,,
every day's a holiday,1937.0,black-and-white,,,,
every day's a holiday,1965.0,"musical, comedy",,,,
every girl should be married,1948.0,"romantic comedy, romance film, comedy, black-and-white",,,,
every home should have one,1970.0,comedy,,,,
every little step,2008.0,"musical, documentary",,,,
every man for himself,1924.0,"short film, silent film, family film, comedy, black-and-white",,,,
every mother's worst fear,1998.0,"drama, crime drama",,,,
every night at eight,1935.0,"romance film, musical, satire, comedy",,,,
every secret thing,2015.0,,,,,
every sunday,1936.0,"short film, musical",,,,
every thing will be fine,2015.0,,,,,
every time we say goodbye,1986.0,"romantic drama, romance film, drama, world cinema",,,,
every which way but loose,1978.0,"action/adventure, action, adventure comedy, comedy, adventure",,,,
everybody dance,1936.0,musical,,,,
everybody does it,1949.0,"satire, remake, comedy, black-and-white",,,,
everybody famous!,2000.0,"drama, comedy, world cinema",,,,
everybody has a little secret,2004.0,"romance film, comedy",,,,
everybody loves somebody,2017.0,,,,,
everybody loves sunshine,1999.0,"crime fiction, thriller, gangster film, crime thriller",,,,
everybody rides the carousel,1975.0,"comedy, drama, indie, animation",,,,
everybody says i'm fine!,2001.0,"romantic comedy, world cinema, comedy-drama, drama, romantic drama, romance film, fantasy comedy",,,,
everybody sing,1938.0,"musical, comedy",,,,
everybody wants some,2016.0,,10000000.0,,,
