Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
anchorman: the legend of ron burgundy,2004.0,"parody, media satire, workplace comedy, cult, comedy, romance film",25000000.0,85288303.0,5361427.0,90649730.0
angel eyes,2001.0,"crime fiction, romantic drama, romance film, drama",38000000.0,24174218.0,5541388.0,29715606.0
anger management,2003.0,"black comedy, comedy, slapstick",56000000.0,135645823.0,60100000.0,195745823.0
anna karenina,2012.0,drama,49000000.0,12816367.0,58188260.0,71004627.0
anna karenina,1935.0,"costume drama, black-and-white, drama, film adaptation, romantic drama, romance film",49000000.0,12816367.0,58188260.0,71004627.0
anna karenina,1918.0,"silent film, drama",49000000.0,12816367.0,58188260.0,71004627.0
anna karenina,1915.0,"silent film, drama, black-and-white",49000000.0,12816367.0,58188260.0,71004627.0
anna karenina,1997.0,"costume drama, romance film, drama",49000000.0,12816367.0,58188260.0,71004627.0
anna karenina,1967.0,"romantic drama, romance film, drama, world cinema",49000000.0,12816367.0,58188260.0,71004627.0
anna karenina,1985.0,costume drama,49000000.0,12816367.0,58188260.0,71004627.0
anna karenina,1948.0,"costume drama, black-and-white, drama, film adaptation, romantic drama, romance film",49000000.0,12816367.0,58188260.0,71004627.0
annie,1999.0,"television movie, musical, ""childrens"", comedy, music, family film",65000000.0,85911262.0,53918363.0,139829625.0
annie,1982.0,"musical, ""childrens"", drama, comedy, music, family film",65000000.0,85911262.0,53918363.0,139829625.0
another year,2010.0,"romantic drama, romance film, drama, indie, comedy",8000000.0,3205706.0,16799907.0,20005613.0
antitrust,2001.0,"thriller, crime fiction, action/adventure, drama, suspense, crime thriller, action",30000000.0,11328094.0,6900000.0,18228094.0
antwone fisher,2002.0,"romance film, biography, drama, biopic [feature]",12500000.0,21078145.0,2289441.0,23367586.0
anything else,2003.0,"romantic comedy, romance film, comedy",18000000.0,3212310.0,10372765.0,13585075.0
apocalypto,2006.0,"adventure, chase movie, epic, action/adventure, period piece, drama, historical epic, action",40000000.0,50866635.0,70165637.0,121032272.0
apollo 18,2011.0,"thriller, science fiction, horror",5000000.0,17687709.0,8830890.0,26518599.0
appaloosa,2008.0,"action/adventure, crime fiction, western, drama, film adaptation",20000000.0,20211394.0,7700059.0,27911453.0
aquaman,2007.0,"thriller, science fiction, adventure, fantasy, drama, romance film, action",160000000.0,335061807.0,816900000.0,1151961807.0
aquamarine,2006.0,"""childrens"", coming of age, comedy, fantasy, romance film, fantasy comedy, family film, teen",12000000.0,18597342.0,4392615.0,22989957.0
arbitrage,2012.0,"thriller, drama",12000000.0,7919574.0,27911139.0,35830713.0
argo,2006.0,short film,44500000.0,136025503.0,96300000.0,232325503.0
argo,2012.0,"thriller, drama, comedy",44500000.0,136025503.0,96300000.0,232325503.0
armored,2009.0,"thriller, crime thriller, action, drama, heist",20000000.0,15988876.0,7672162.0,23661038.0
around the world in 80 days,2004.0,"adventure, martial arts film, action/adventure, western, ""childrens"", drama, comedy, film adaptation, family film, action, romance film, steampunk",110000000.0,24008137.0,48170758.0,72178895.0
around the world in 80 days,1988.0,"family film, adventure, animation",110000000.0,24008137.0,48170758.0,72178895.0
arthur,2011.0,"romantic comedy, romance film, remake, comedy",40000000.0,33035397.0,15112548.0,48147945.0
arthur,1981.0,"romantic comedy, romance film, drama, comedy",40000000.0,33035397.0,15112548.0,48147945.0
arthur christmas,2011.0,"computer animation, family film, comedy, holiday film, animation",85000000.0,46462469.0,103254655.0,149717124.0
assault on precinct 13,1976.0,"thriller, crime fiction, indie, action/adventure, suspense, action",30000000.0,20040895.0,16000000.0,36040895.0
assault on precinct 13,2005.0,"thriller, action/adventure, action, remake, crime thriller",30000000.0,20040895.0,16000000.0,36040895.0
astro boy,2009.0,"science fiction, japanese movies, adventure, world cinema, superhero movie, computer animation, ""childrens/family"", animation, action/adventure, anime, adventure comedy, family film, action, chinese movies",65000000.0,19551067.0,22085176.0,41636243.0
atlantis: the lost empire,2001.0,"science fiction, fantasy adventure, adventure, ""childrens/family"", animation, family film",90000000.0,84056472.0,101997253.0,186053725.0
atonement,2007.0,"war film, mystery, period piece, drama, film adaptation, romantic drama, romance film",30000000.0,50980159.0,78799569.0,129779728.0
august rush,2007.0,"childhood drama, romantic fantasy, drama, music, romance film, musical drama",25000000.0,31664162.0,34457864.0,66122026.0
august: osage county,2013.0,"comedy film, drama",25000000.0,37738810.0,36450127.0,74188937.0
australia,1989.0,drama,130000000.0,49554002.0,165526808.0,215080810.0
australia,2008.0,"adventure, history, period piece, epic, western, drama, war film, romantic drama, romance film",130000000.0,49554002.0,165526808.0,215080810.0
autumn in new york,2000.0,"romantic drama, romance film, drama, medical fiction",40000000.0,37761915.0,52964753.0,90726668.0
avatar,2009.0,"thriller, science fiction, adventure, computer animation, epic, nature, fantasy, action",425000000.0,760507625.0,2015837654.0,2776345279.0
avatar,2004.0,"thriller, science fiction, adventure",425000000.0,760507625.0,2015837654.0,2776345279.0
awake,2007.0,"thriller, drama, psychological thriller",8600000.0,14377198.0,18594823.0,32972021.0
babel,2006.0,"drama, indie, political drama",20000000.0,34302837.0,101027345.0,135330182.0
baby mama,2008.0,"romance film, comedy",30000000.0,60494212.0,3950501.0,64444713.0
babylon a.d.,2008.0,"thriller, science fiction, action, adventure",45000000.0,22532572.0,49576628.0,72109200.0
bad boys ii,2003.0,"crime fiction, thriller, buddy film, adventure, action comedy, buddy cop, action/adventure, comedy, action",130000000.0,138608444.0,134731112.0,273339556.0
bad company,1946.0,"short film, drama",70000000.0,30160161.0,39000000.0,69160161.0
bad company,1995.0,"crime fiction, thriller, psychological thriller, erotic thriller, drama, crime thriller, action",70000000.0,30160161.0,39000000.0,69160161.0
bad company,1931.0,"drama, pre-code",70000000.0,30160161.0,39000000.0,69160161.0
bad company,1992.0,"crime fiction, short film, drama",70000000.0,30160161.0,39000000.0,69160161.0
bad company,1972.0,"action/adventure, acid western, western, action",70000000.0,30160161.0,39000000.0,69160161.0
bad company,1980.0,drama,70000000.0,30160161.0,39000000.0,69160161.0
bad company,2002.0,"action/adventure, thriller, action, comedy, spy",70000000.0,30160161.0,39000000.0,69160161.0
bad company,1925.0,"silent film, drama, indie, black-and-white",70000000.0,30160161.0,39000000.0,69160161.0
bad company,1986.0,drama,70000000.0,30160161.0,39000000.0,69160161.0
bad santa,2003.0,"crime fiction, crime comedy, holiday film, cult, christmas movie, comedy, black comedy",18000000.0,60060328.0,17086703.0,77147031.0
bad teacher,2011.0,"romantic comedy, romance film, comedy of manners, drama, comedy",19000000.0,100292856.0,115904636.0,216197492.0
bait,1950.0,"crime fiction, drama",35000000.0,15325127.0,146842.0,15471969.0
bait,2000.0,"thriller, crime fiction, adventure, action/adventure, drama, comedy, crime thriller, action",35000000.0,15325127.0,146842.0,15471969.0
bamboozled,2000.0,"media satire, indie, comedy-drama, satire, drama, comedy, black comedy, music",10000000.0,2274979.0,188671.0,2463650.0
bandits,1997.0,"crime fiction, musical, action, drama, world cinema",75000000.0,41575141.0,30000000.0,71575141.0
bandits,2001.0,"romantic comedy, crime fiction, buddy film, heist, drama, comedy, romance film",75000000.0,41575141.0,30000000.0,71575141.0
bangkok dangerous,2008.0,"crime fiction, thriller, gangster film, action/adventure, crime thriller, action",45000000.0,15298133.0,31300000.0,46598133.0
bangkok dangerous,1999.0,"crime fiction, thriller, world cinema, drama, crime thriller, action",45000000.0,15298133.0,31300000.0,46598133.0
